term,id,loan_amnt,home_ownership,emp_length,annual_inc,loan_status,purpose,dti,revol_util,total_rec_late_fee,grade
 60 months,1057448,20125,MORTGAGE,10,103000,Fully Paid,credit_card,19.7,95.90%,0,B
 60 months,1057669,30000,RENT,1,137000,Fully Paid,debt_consolidation,8.73,74%,0,B
 36 months,1050535,24000,OWN,10,103000,Fully Paid,debt_consolidation,15.34,92.10%,0,B
 60 months,1057674,14000,RENT,3,75000,Fully Paid,debt_consolidation,12.62,67.60%,0,B
 36 months,1057806,5375,MORTGAGE,5,42000,Fully Paid,credit_card,17.69,79.80%,0,A
 36 months,1057615,8300,RENT,10,50000,Fully Paid,debt_consolidation,6.24,79.10%,0,A
 36 months,1057818,7000,OWN,5,50000,Fully Paid,debt_consolidation,16.68,62.90%,0,A
 36 months,1057629,2425,OWN,3,80004,Fully Paid,home_improvement,23.92,76.80%,15,B
 36 months,1057621,6950,RENT,2,43000,Fully Paid,credit_card,20.51,83%,0,A
 36 months,1057787,12375,OWN,10,32000,Fully Paid,credit_card,24.3,79.40%,0,A
 60 months,1057770,35000,MORTGAGE,10,85000,Fully Paid,debt_consolidation,12.54,66%,0,B
 60 months,1057275,14000,RENT,5,60500,Fully Paid,debt_consolidation,19.95,96.20%,0,B
 36 months,1057330,14000,RENT,1,35000,Fully Paid,debt_consolidation,8.4,65.70%,0,B
 36 months,1057773,5500,RENT,5,24000,Fully Paid,credit_card,22.8,86.50%,0,B
 36 months,1057343,4800,RENT,1,44600,Fully Paid,credit_card,15.28,92.50%,0,B
 36 months,1057562,9000,RENT,1,52000,Fully Paid,debt_consolidation,12.88,89.30%,0,A
 36 months,1057776,16000,OWN,2,67000,Fully Paid,credit_card,12.48,81.50%,0,A
 36 months,1057519,5000,MORTGAGE,2,44136,Fully Paid,debt_consolidation,3.37,87.90%,0,B
 60 months,1057314,35000,MORTGAGE,3,66000,Current,debt_consolidation,8.96,42.90%,0,A
 36 months,1057537,18500,MORTGAGE,8,36000,Fully Paid,debt_consolidation,13.63,84.30%,0,A
 36 months,1057358,5350,MORTGAGE,6,52000,Charged Off,home_improvement,9.46,80.10%,0,B
 60 months,1057038,25000,RENT,2,65000,Fully Paid,debt_consolidation,18.02,50.70%,0,A
 36 months,1057316,10000,RENT,3,36000,Fully Paid,credit_card,11.2,74.20%,0,A
 36 months,1057350,12000,RENT,3,36500,Fully Paid,debt_consolidation,24.1,65%,0,A
 36 months,1057319,18000,MORTGAGE,5,40000,Fully Paid,debt_consolidation,11.85,52.20%,0,A
 36 months,1052234,3000,MORTGAGE,3,56604,Fully Paid,other,6.78,96.80%,0,B
 36 months,1041468,6000,RENT,1,23040,Charged Off,credit_card,12.66,62.30%,0,B
 60 months,1057515,20000,RENT,1,90000,Fully Paid,credit_card,16.77,77.30%,0,B
 60 months,1057522,35000,MORTGAGE,10,99224.88,Fully Paid,home_improvement,12.07,49.40%,0,B
 36 months,1057428,10000,RENT,2,52000,Fully Paid,debt_consolidation,13.38,76%,0,B
 60 months,1057318,12000,RENT,n/a,35000,Current,debt_consolidation,17.45,52.20%,29.8668255,A
 36 months,1057451,5875,OWN,4,17640,Fully Paid,debt_consolidation,14.63,43.20%,0,A
 36 months,1048164,10000,RENT,4,86000,Fully Paid,debt_consolidation,10.1,91.60%,0,B
 36 months,1057482,28000,MORTGAGE,5,118075,Fully Paid,debt_consolidation,15.01,49.60%,0,A
 36 months,1057501,11200,RENT,5,48000,Fully Paid,other,8.68,31.70%,0,A
 36 months,1057458,10000,RENT,3,65000,Fully Paid,credit_card,6.85,59.40%,0,B
 60 months,1057445,20000,RENT,5,40000,Fully Paid,debt_consolidation,20.61,65.80%,0,B
 36 months,1057211,9450,RENT,7,28800,Fully Paid,credit_card,18.96,54%,0,B
 60 months,1057055,19000,OWN,3,38000,Charged Off,debt_consolidation,18.09,69.60%,0,B
 60 months,1057199,18825,MORTGAGE,10,85000,Fully Paid,debt_consolidation,14.77,91.20%,0,B
 60 months,1057375,20400,RENT,1,52000,Fully Paid,credit_card,17.86,89.70%,0,B
 36 months,1057238,21650,MORTGAGE,6,62361,Fully Paid,debt_consolidation,21.28,85.90%,0,A
 60 months,1057204,24000,MORTGAGE,1,122400,Charged Off,debt_consolidation,9.98,25.90%,0,B
 60 months,1057171,24500,RENT,10,52000,Current,debt_consolidation,13.85,95.40%,0,B
 36 months,1057013,9000,RENT,10,45000,Fully Paid,debt_consolidation,23.39,72.70%,0,A
 60 months,1057397,15000,MORTGAGE,3,75000,Fully Paid,credit_card,14.05,74.50%,0,A
 60 months,1056945,20000,RENT,10,50000,Current,credit_card,13.37,89.70%,0,B
 60 months,1056969,7100,RENT,3,36000,Current,credit_card,23.13,93.90%,0,B
 36 months,1056923,6000,RENT,2,40000,Fully Paid,debt_consolidation,20.73,46.80%,0,A
 36 months,1057140,5600,RENT,1,25000,Fully Paid,credit_card,10.9,49.50%,15,A
 36 months,1055794,7000,RENT,10,85000,Fully Paid,debt_consolidation,5.22,96.10%,0,A
 60 months,1057083,20300,RENT,1,80000,Charged Off,debt_consolidation,27.76,59.60%,0,B
 36 months,1056866,6000,RENT,1,55000,Fully Paid,credit_card,7.99,62.60%,0,A
 60 months,1057071,30000,RENT,10,62000,Fully Paid,credit_card,21.25,44.80%,0,B
 36 months,1056925,12000,RENT,5,110000,Fully Paid,debt_consolidation,4.85,64.40%,0,A
 36 months,1057099,13650,RENT,5,44000,Fully Paid,credit_card,24.57,83.30%,0,A
 60 months,1056297,24000,MORTGAGE,9,76000,Fully Paid,debt_consolidation,21.65,56.30%,0,A
 60 months,1056889,6200,MORTGAGE,9,51000,Fully Paid,credit_card,10.61,78.80%,0,B
 60 months,1057113,25000,MORTGAGE,4,106000,Fully Paid,credit_card,7.15,56.40%,0,B
 36 months,1056786,12000,RENT,4,42000,Fully Paid,debt_consolidation,12.66,50.30%,0,B
 36 months,1057110,2300,MORTGAGE,1,78000,Charged Off,other,10.23,26.10%,0,A
 36 months,1057080,8875,RENT,1,19240,Fully Paid,debt_consolidation,18.21,52.70%,0,A
 60 months,1057031,18800,RENT,7,75000,Charged Off,debt_consolidation,11.73,93.10%,0,B
 60 months,1050520,12000,RENT,4,75000,Fully Paid,home_improvement,12.08,44.90%,0,A
 36 months,1056845,9000,RENT,2,52800,Fully Paid,credit_card,7.93,36%,0,A
 36 months,1057065,7600,OWN,9,75000,Fully Paid,debt_consolidation,16.26,84.30%,0,A
 60 months,1057026,16000,RENT,1,40000,Fully Paid,debt_consolidation,19.68,43.80%,0,A
 60 months,1056070,12000,RENT,3,24000,Fully Paid,credit_card,11.8,91%,0,B
 60 months,1056857,22500,RENT,3,45000,Fully Paid,major_purchase,7.65,45%,0,B
 60 months,1056856,20000,RENT,9,105000,Fully Paid,debt_consolidation,12.74,90.40%,0,B
 36 months,1057054,6000,MORTGAGE,2,60000,Fully Paid,debt_consolidation,9.82,72.50%,0,B
 36 months,1056817,7200,OWN,4,53000,Fully Paid,credit_card,16.14,77.30%,0,A
 36 months,1057024,8000,RENT,1,46330,Fully Paid,debt_consolidation,6.53,53.50%,0,A
 60 months,1056799,24575,MORTGAGE,10,59000,Charged Off,credit_card,19.75,63.70%,0,B
 60 months,1056133,18000,MORTGAGE,7,36000,Current,debt_consolidation,18.63,83.80%,0,B
 36 months,1056835,19000,MORTGAGE,10,95000,Fully Paid,debt_consolidation,5.28,13.70%,0,A
 36 months,1056055,14400,RENT,10,58977,Fully Paid,credit_card,12.88,86.40%,0,B
 36 months,1055476,8400,RENT,1,75000,Fully Paid,wedding,3.81,63%,0,A
 36 months,1055593,7500,RENT,2,27000,Fully Paid,debt_consolidation,13.82,67.60%,0,A
 60 months,1056585,30000,MORTGAGE,4,72000,Fully Paid,debt_consolidation,17.6,86.90%,0,B
 60 months,1056773,12375,RENT,2,37000,Fully Paid,credit_card,23.74,81.90%,0,B
 36 months,1056374,10000,MORTGAGE,2,69077,Fully Paid,debt_consolidation,17.37,63.80%,0,A
 60 months,1055929,22000,RENT,2,54329,Fully Paid,debt_consolidation,7.91,77.10%,0,B
 36 months,1056772,12000,RENT,10,2.00E+05,Fully Paid,debt_consolidation,6.61,71.50%,0,A
 36 months,1055229,5000,MORTGAGE,1,110000,Fully Paid,other,20.02,62.80%,0,A
 36 months,1056601,21000,RENT,2,63500,Fully Paid,debt_consolidation,19.79,65.20%,0,B
 36 months,1011430,24000,MORTGAGE,2,70000,Fully Paid,home_improvement,1.77,36.20%,0,A
 36 months,1056115,6000,RENT,1,30000,Fully Paid,medical,10.8,86.30%,0,B
 36 months,1056345,4800,RENT,2,54996,Fully Paid,other,5.89,38.30%,15,A
 36 months,1054308,5000,RENT,5,21000,Charged Off,other,7.14,99.20%,0,B
 36 months,1056351,5850,RENT,1,38000,Fully Paid,credit_card,23.59,91.80%,0,B
 60 months,1056320,17000,MORTGAGE,10,72000,Current,debt_consolidation,14.65,76.60%,0,A
 60 months,1056090,21000,RENT,2,75000,Fully Paid,credit_card,8.88,82.70%,0,A
 60 months,1056273,17475,RENT,10,56000,Charged Off,other,24.84,68.80%,0,B
 36 months,1053961,4750,OWN,2,48000,Fully Paid,home_improvement,10.07,3.70%,0,A
 60 months,1056155,12000,MORTGAGE,3,1.00E+05,Fully Paid,debt_consolidation,13.76,68.30%,0,B
 36 months,1056147,5275,OWN,5,50000,Fully Paid,other,6.79,11.40%,0,A
 36 months,1056107,9175,RENT,1,28500,Fully Paid,debt_consolidation,19.03,66%,0,A
 36 months,1056157,9600,RENT,5,37000,Fully Paid,credit_card,19.62,58.60%,0,B
 60 months,1056298,34475,RENT,8,60000,Charged Off,debt_consolidation,20.02,53.20%,0,B
 36 months,1056299,22500,RENT,7,70000,Fully Paid,debt_consolidation,12.07,36.70%,0,B
 60 months,1056248,12000,RENT,1,80000,Fully Paid,medical,8.54,9.80%,0,B
 36 months,926180,12000,OWN,n/a,40000,Fully Paid,credit_card,18.75,51.10%,0,A
 60 months,1056261,10050,MORTGAGE,10,74143.68,Charged Off,home_improvement,17.54,89.90%,0,B
 60 months,1056098,21000,RENT,2,94500,Current,debt_consolidation,8.09,82.40%,0,B
 36 months,1056081,15000,OWN,n/a,57000,Fully Paid,debt_consolidation,12.08,89%,0,B
 36 months,1056062,19400,RENT,1,50000,Fully Paid,credit_card,17.66,72.30%,0,A
 36 months,1056239,10000,RENT,1,42000,Charged Off,credit_card,16.37,81.70%,0,B
 36 months,1056093,10000,OWN,1,53000,Fully Paid,credit_card,13.77,68.70%,0,B
 36 months,1056080,4800,RENT,6,22000,Fully Paid,debt_consolidation,8.07,35.50%,0,A
 60 months,1056234,35000,MORTGAGE,3,90000,Charged Off,small_business,8.07,25.30%,0,A
 36 months,1053252,18200,RENT,10,42000,Charged Off,debt_consolidation,20.37,59.60%,0,A
 36 months,1056186,6400,RENT,3,35000,Fully Paid,credit_card,14.33,69.60%,0,A
 60 months,1056039,13000,MORTGAGE,10,54000,Current,debt_consolidation,16,65.80%,0,B
 36 months,1055960,2500,RENT,6,40000,Fully Paid,debt_consolidation,15.27,67.30%,0,B
 36 months,1048116,6300,RENT,10,49000,Fully Paid,credit_card,12.61,93.90%,0,A
 36 months,1056204,4400,RENT,5,38000,Fully Paid,credit_card,7.86,57.30%,0,A
 36 months,1056163,6000,MORTGAGE,8,118000,Fully Paid,credit_card,11.5,89.20%,0,A
 60 months,1050689,20500,MORTGAGE,9,54000,Fully Paid,debt_consolidation,18.02,0%,0,B
 60 months,1056173,8800,RENT,10,135000,Current,vacation,8.77,88.20%,0,B
 60 months,1055949,17000,RENT,9,53000,Charged Off,debt_consolidation,21.03,84.60%,0,B
 36 months,1051959,18000,MORTGAGE,10,60000,Fully Paid,debt_consolidation,21.22,71.50%,0,A
 60 months,1056000,20000,MORTGAGE,3,116500,Current,credit_card,8.84,49%,26.13150368,B
 36 months,1055912,10000,MORTGAGE,4,44000,Fully Paid,debt_consolidation,14.56,55.60%,0,A
 60 months,1055757,16000,MORTGAGE,5,52000,Fully Paid,credit_card,19.73,64%,0,A
 36 months,1053910,34000,RENT,4,65000,Fully Paid,debt_consolidation,16.87,64.70%,0,B
 60 months,1055977,16000,RENT,3,51000,Fully Paid,credit_card,13.65,54.20%,0,B
 36 months,1055982,11100,RENT,6,45000,Charged Off,debt_consolidation,4.64,95.80%,0,B
 60 months,1055921,21000,MORTGAGE,4,60000,Current,home_improvement,11.34,53.50%,0,B
 60 months,1055723,12000,RENT,2,40000,Charged Off,debt_consolidation,6.15,96.50%,0,B
 36 months,1055810,5000,OWN,1,20000,Fully Paid,credit_card,11.4,93.90%,0,A
 60 months,1055873,21000,OWN,7,42000,Charged Off,debt_consolidation,15.8,74.20%,0,B
 36 months,1055657,10625,RENT,1,25000,Fully Paid,debt_consolidation,15.12,76.70%,0,A
 36 months,1055838,18500,RENT,1,112000,Charged Off,debt_consolidation,9.02,9.80%,28.75536418,A
 36 months,1052534,3600,MORTGAGE,5,30000,Fully Paid,debt_consolidation,16.44,84.90%,0,A
 36 months,1055716,8500,RENT,n/a,27050,Charged Off,credit_card,10.25,62.70%,0,B
 36 months,1055701,12000,MORTGAGE,5,35000,Fully Paid,credit_card,10.35,81.20%,0,A
 36 months,1055693,11700,RENT,6,30000,Fully Paid,credit_card,22.48,89.50%,0,A
 36 months,1055843,15000,RENT,2,70000,Fully Paid,debt_consolidation,15.05,67.20%,0,B
 36 months,1055696,13000,MORTGAGE,10,105000,Fully Paid,debt_consolidation,14.96,80.20%,0,A
 36 months,1055834,9500,MORTGAGE,5,52000,Charged Off,debt_consolidation,18.95,64.50%,15.90464036,A
 60 months,1055653,20000,RENT,2,108000,Current,credit_card,13.5,71.80%,0,B
 60 months,1055682,1800,MORTGAGE,4,92496,Fully Paid,other,20.9,89.10%,0,B
 36 months,1055641,20000,MORTGAGE,6,47000,Fully Paid,home_improvement,19.86,86.40%,0,B
 36 months,1055835,6000,RENT,5,24000,Fully Paid,credit_card,11.55,88.70%,0,A
 36 months,1055646,13000,RENT,6,67000,Fully Paid,debt_consolidation,20.61,45%,0,B
 36 months,1055612,14400,RENT,4,50000,Fully Paid,debt_consolidation,25.1,65.10%,0,A
 36 months,1055639,5000,MORTGAGE,5,48996,Fully Paid,debt_consolidation,28.07,58.60%,0,A
 60 months,1055636,12000,RENT,5,165000,Charged Off,debt_consolidation,6.27,63.10%,15.32,B
 36 months,1055350,25000,RENT,10,70000,Fully Paid,debt_consolidation,17.14,48.40%,0,A
 60 months,1055357,21650,OWN,7,49000,Fully Paid,debt_consolidation,17.19,72.70%,0,B
 60 months,1055587,19500,MORTGAGE,10,85470,Fully Paid,debt_consolidation,20.04,56.90%,0,B
 36 months,1055566,5000,RENT,n/a,84855,Charged Off,other,14.14,20.50%,0,A
 36 months,1053384,5200,RENT,10,32160,Fully Paid,debt_consolidation,23.47,33.20%,0,B
 36 months,1036318,6000,MORTGAGE,8,50000,Fully Paid,debt_consolidation,23.86,24.60%,0,B
 36 months,1055509,4000,RENT,10,47000,Charged Off,other,12.94,99%,0,B
 36 months,1055527,15000,RENT,4,62000,Charged Off,debt_consolidation,18.77,43.80%,0,A
 36 months,1055502,8000,RENT,2,115000,Fully Paid,credit_card,2.07,76.20%,0,A
 36 months,1055322,16500,MORTGAGE,10,64000,Charged Off,credit_card,7.97,96%,0,B
 60 months,1055535,11900,RENT,4,96000,Fully Paid,vacation,7.67,7.60%,0,A
 36 months,1055300,4000,OWN,n/a,25000,Charged Off,debt_consolidation,12.62,91%,0,B
 36 months,1055275,12000,RENT,10,40100,Fully Paid,debt_consolidation,24.27,71.50%,0,A
 36 months,1054743,10200,MORTGAGE,10,75000,Fully Paid,debt_consolidation,10.1,42.70%,0,A
 36 months,1055212,12000,RENT,6,95000,Fully Paid,debt_consolidation,19.73,96.20%,0,A
 36 months,1055468,3000,RENT,3,55000,Charged Off,credit_card,9.75,92.70%,0,A
 36 months,1055260,3500,MORTGAGE,10,175000,Charged Off,medical,16.49,63.70%,0,A
 36 months,1055240,11000,RENT,10,37000,Fully Paid,credit_card,18.78,64.80%,0,A
 36 months,1055239,17000,OWN,6,60500,Fully Paid,debt_consolidation,17.91,61.50%,0,A
 36 months,1055405,15000,OWN,10,60000,Fully Paid,credit_card,19.52,73.20%,0,B
 36 months,1055231,12000,RENT,7,52000,Fully Paid,credit_card,24.16,70.10%,0,A
 60 months,1055225,29100,RENT,1,95000,Fully Paid,debt_consolidation,16.41,99.70%,0,B
 36 months,1055222,5000,MORTGAGE,n/a,48000,Fully Paid,home_improvement,19.57,74.30%,0,B
 36 months,1055455,25850,MORTGAGE,10,60000,Fully Paid,credit_card,8.86,31.20%,0,A
 36 months,1055426,16400,OWN,6,140000,Fully Paid,credit_card,12.71,89.50%,0,B
 36 months,1055394,12000,MORTGAGE,2,65000,Fully Paid,credit_card,14.97,78.90%,0,A
 36 months,1055195,9600,MORTGAGE,9,47000,Fully Paid,credit_card,18.69,87.20%,0,B
 36 months,1055362,8000,RENT,1,28000,Fully Paid,debt_consolidation,19.46,46.50%,0,A
 60 months,1054703,17500,RENT,10,45256,Charged Off,debt_consolidation,22.01,63.70%,0,A
 60 months,1055392,16000,RENT,1,70000,Fully Paid,debt_consolidation,10.71,96.90%,0,B
 60 months,1049553,35000,MORTGAGE,7,165000,Charged Off,other,16.33,25.60%,0,B
 36 months,1054237,4000,RENT,5,70000,Fully Paid,credit_card,17.33,54.10%,0,A
 36 months,1052179,1500,RENT,1,90000,Fully Paid,major_purchase,9.45,61.40%,0,B
 60 months,1055372,14000,RENT,1,46000,Current,debt_consolidation,14.48,23.70%,0,A
 36 months,1055374,8000,RENT,2,30000,Fully Paid,debt_consolidation,13.28,82%,0,A
 36 months,1052618,8000,RENT,5,38000,Fully Paid,debt_consolidation,16.83,59.90%,0,A
 60 months,1055163,25000,RENT,6,45000,Fully Paid,vacation,3.65,0.40%,0,B
 36 months,1054796,4000,MORTGAGE,10,50000,Fully Paid,home_improvement,22.63,70.80%,0,A
 60 months,1054702,20400,RENT,n/a,40800,Fully Paid,debt_consolidation,10.94,50.60%,0,A
 36 months,1054558,10000,RENT,5,27000,Fully Paid,credit_card,14.13,76.90%,0,A
 36 months,1054203,10000,RENT,2,40000,Fully Paid,debt_consolidation,23.07,67%,0,A
 36 months,1054700,6000,RENT,1,28675.92,Fully Paid,credit_card,21.47,68.70%,0,A
 60 months,1054552,35000,MORTGAGE,1,174000,Current,home_improvement,5.32,26.50%,0,B
 36 months,863895,18000,MORTGAGE,10,72000,Fully Paid,debt_consolidation,15.05,69.40%,0,A
 36 months,1053176,3300,RENT,2,90000,Fully Paid,debt_consolidation,7.21,60.30%,0,A
 36 months,1054692,15000,RENT,3,70000,Charged Off,debt_consolidation,8.25,91.80%,0,B
 36 months,1054683,6000,MORTGAGE,10,127000,Fully Paid,other,18.77,91.70%,0,A
 60 months,1054653,35000,MORTGAGE,3,70000,Charged Off,debt_consolidation,19.17,66.90%,0,B
 60 months,1054655,20000,RENT,2,62500,Fully Paid,debt_consolidation,20.83,52.30%,0,B
 60 months,1054445,12200,MORTGAGE,8,35000,Charged Off,debt_consolidation,13.13,26%,0,B
 36 months,1054489,4200,RENT,6,55044.48,Fully Paid,moving,8.74,6%,0,B
 60 months,1054630,25000,RENT,10,81000,Charged Off,credit_card,12.62,70.90%,0,B
 60 months,1051508,22575,OWN,3,45000,Fully Paid,debt_consolidation,12.99,78.90%,0,B
 36 months,1054482,20000,MORTGAGE,4,90000,Fully Paid,credit_card,18.17,69.50%,0,B
 60 months,1054469,18000,RENT,3,60000,Fully Paid,debt_consolidation,9.6,70.20%,0,B
 36 months,1054628,10000,MORTGAGE,10,76500,Fully Paid,major_purchase,12.31,19.10%,0,A
 36 months,1054484,12000,MORTGAGE,8,63000,Fully Paid,credit_card,16.48,75.10%,0,A
 36 months,1054476,8000,OWN,8,57000,Fully Paid,debt_consolidation,20.53,69.20%,30,A
 36 months,1054607,7175,RENT,4,60000,Charged Off,small_business,7.9,94.10%,0,A
 36 months,1054461,15000,RENT,5,80000,Fully Paid,credit_card,6.55,70.60%,0,A
 60 months,1054441,22500,MORTGAGE,4,45000,Current,other,11.04,31.30%,0,A
 60 months,1050216,35000,MORTGAGE,10,100800,Fully Paid,small_business,22.5,0.70%,0,B
 36 months,1054301,12000,RENT,10,47840,Fully Paid,debt_consolidation,9.73,80.10%,0,A
 60 months,1054292,35000,MORTGAGE,10,110000,Fully Paid,debt_consolidation,16.4,63.60%,0,B
 60 months,1054298,18250,OWN,6,40000,Current,debt_consolidation,19.2,98.30%,0,B
 60 months,1054150,20000,MORTGAGE,4,55800,Fully Paid,other,9.91,87.20%,0,B
 36 months,1054137,15000,OWN,3,130000,Fully Paid,home_improvement,10.94,14.60%,0,A
 36 months,1054129,12500,RENT,5,80000,Fully Paid,credit_card,5.86,79.20%,0,A
 36 months,1054269,15000,RENT,10,60000,Fully Paid,credit_card,7.8,80.90%,65.9000002,B
 36 months,1054244,16750,RENT,1,48000,Fully Paid,debt_consolidation,15.68,87%,0,B
 36 months,1054235,8000,RENT,9,54600,Fully Paid,debt_consolidation,15.12,37.60%,0,A
 36 months,1054215,10400,OWN,3,35000,Fully Paid,credit_card,13.06,73.60%,17.20000006,A
 36 months,1054100,6000,RENT,5,42000,Fully Paid,major_purchase,16.66,91.10%,0,A
 36 months,1054074,7000,RENT,4,85000,Fully Paid,debt_consolidation,7.07,33.10%,0,A
 36 months,1054189,10000,RENT,2,47500,Fully Paid,debt_consolidation,24.71,65.40%,0,B
 36 months,1054185,12000,MORTGAGE,6,243600,Fully Paid,medical,6.45,19.70%,0,A
 60 months,1053948,12000,MORTGAGE,9,38417.6,Fully Paid,credit_card,10.37,93.90%,0,B
 60 months,1054034,17000,MORTGAGE,5,84000,Charged Off,home_improvement,10.19,76.90%,0,B
 60 months,1054165,12950,RENT,1,31200,Current,house,3.46,4.90%,0,A
 36 months,1052220,16000,MORTGAGE,7,70000,Charged Off,debt_consolidation,4.99,43.30%,0,B
 60 months,1053953,10000,RENT,1,56496,Charged Off,debt_consolidation,18.84,23.10%,0,B
 36 months,1053935,8000,OWN,10,42240,Charged Off,credit_card,12.33,53.50%,0,A
 60 months,1054018,24000,RENT,7,152000,Fully Paid,debt_consolidation,13.28,95.80%,0,B
 36 months,1053287,7700,RENT,2,30000,Fully Paid,debt_consolidation,13.96,93.20%,0,A
 36 months,1053902,15000,RENT,7,47000,Fully Paid,credit_card,17.36,60%,0,A
 60 months,1053917,30000,OWN,10,120000,Charged Off,credit_card,9.17,66%,0,B
 36 months,1054000,12000,MORTGAGE,6,50000,Fully Paid,credit_card,10.15,77.80%,0,A
 36 months,1053997,1200,MORTGAGE,10,39000,Fully Paid,home_improvement,29.26,94.90%,0,A
 36 months,1050827,9000,RENT,4,26976,Fully Paid,debt_consolidation,11.34,29.20%,0,A
 60 months,1053837,12000,RENT,10,50000,Fully Paid,debt_consolidation,12.62,69.70%,0,B
 36 months,1053966,5000,RENT,n/a,30000,Fully Paid,debt_consolidation,12.64,94.80%,0,A
 36 months,1053868,10400,MORTGAGE,4,45000,Fully Paid,debt_consolidation,21.87,87.10%,0,B
 60 months,1044599,30000,MORTGAGE,10,72000,Current,home_improvement,1.07,18.60%,0,A
 60 months,1033775,7200,RENT,5,103000,Current,debt_consolidation,10.53,63.80%,0,B
 36 months,1051404,3500,MORTGAGE,10,57700,Fully Paid,small_business,12.4,5.20%,0,A
 60 months,1053817,19500,RENT,4,52470,Current,debt_consolidation,17.56,72%,0,B
 60 months,1047639,6350,RENT,4,49200,Current,car,4.71,24.60%,0,A
 36 months,1053702,15000,RENT,1,90000,Charged Off,debt_consolidation,11.2,77.10%,0,A
 36 months,1053711,10000,MORTGAGE,10,80000,Fully Paid,debt_consolidation,10.66,33.90%,0,A
 36 months,1053718,8400,RENT,10,72000,Charged Off,debt_consolidation,20.75,16%,0,A
 36 months,1052689,12000,RENT,4,90000,Fully Paid,debt_consolidation,4.84,49.10%,0,A
 60 months,1053500,22750,MORTGAGE,1,47840,Charged Off,debt_consolidation,19.31,62.80%,0,B
 60 months,1053783,20000,OWN,8,1.00E+05,Fully Paid,debt_consolidation,11.32,94.70%,0,B
 36 months,1053767,8875,MORTGAGE,10,58000,Fully Paid,debt_consolidation,28.84,64.50%,0,A
 60 months,1051349,5000,RENT,1,17000,Charged Off,major_purchase,12.85,51.70%,0,B
 36 months,1053656,11200,OWN,10,45000,Fully Paid,debt_consolidation,18.64,52.30%,0,A
 36 months,1053555,4000,RENT,1,90000,Fully Paid,other,12.79,47.50%,0,B
 36 months,1053652,15000,RENT,5,75000,Fully Paid,debt_consolidation,7.97,43.50%,0,A
 60 months,1053648,14750,MORTGAGE,8,30000,Current,debt_consolidation,17.32,64%,0,B
 36 months,1047771,15000,OWN,10,125000,Fully Paid,house,10.64,0%,0,A
 36 months,1053382,2500,RENT,5,45000,Fully Paid,debt_consolidation,10.61,57.40%,0,A
 60 months,1053539,13475,RENT,3,26400,Current,debt_consolidation,27.27,0%,0,A
 60 months,1053529,14000,OWN,10,35000,Charged Off,debt_consolidation,13.68,81.80%,0,B
 36 months,1053621,6625,RENT,10,16800,Fully Paid,other,20.29,9.50%,0,A
 36 months,1053617,10000,RENT,2,45000,Fully Paid,debt_consolidation,24.24,0%,0,A
 60 months,1053583,12000,RENT,9,45000,Fully Paid,debt_consolidation,9.01,78%,0,B
 60 months,1053591,20000,RENT,4,87000,Current,debt_consolidation,9.31,88.40%,0,B
 36 months,1053430,14000,RENT,6,85000,Fully Paid,credit_card,5.55,70.90%,0,B
 36 months,1053569,35000,MORTGAGE,3,84500,Fully Paid,debt_consolidation,2.47,15.20%,0,A
 60 months,1053576,4800,RENT,10,45000,Current,debt_consolidation,13.81,90.60%,0,B
 36 months,1053441,12875,MORTGAGE,4,57000,Fully Paid,credit_card,23.16,66.70%,0,A
 36 months,1053445,1400,MORTGAGE,n/a,30108,Charged Off,debt_consolidation,20.29,33.40%,0,A
 36 months,1053325,22000,MORTGAGE,9,72000,Fully Paid,credit_card,18.7,71.60%,0,B
 36 months,1053312,12000,RENT,10,53000,Fully Paid,debt_consolidation,22.26,96.80%,0,B
 36 months,1053415,9000,RENT,5,25600,Fully Paid,debt_consolidation,17.67,60.80%,0,A
 36 months,1050309,12000,RENT,10,66000,Fully Paid,credit_card,8.76,59.30%,0,B
 60 months,1053411,17000,RENT,10,57000,Fully Paid,debt_consolidation,8.72,57.40%,0,B
 60 months,1053319,18000,MORTGAGE,2,55000,Fully Paid,debt_consolidation,11.67,77.30%,0,B
 36 months,1052586,2000,RENT,1,33000,Fully Paid,major_purchase,11.42,31.70%,0,A
 36 months,1053401,8000,MORTGAGE,10,80000,Fully Paid,debt_consolidation,6.57,94.30%,0,A
 36 months,1053390,10000,RENT,6,32000,Fully Paid,credit_card,23.93,80.60%,0,A
 36 months,1053374,6900,MORTGAGE,7,35000,Fully Paid,debt_consolidation,23.83,72.40%,0,A
 36 months,1053142,6000,MORTGAGE,10,44720,Fully Paid,debt_consolidation,11.81,70.70%,0,A
 36 months,1053309,13000,RENT,1,170000,Fully Paid,other,9.41,88.90%,0,A
 36 months,1053301,18650,MORTGAGE,1,50000,Fully Paid,debt_consolidation,21.31,81.50%,0,A
 36 months,1051079,2400,RENT,8,43080,Charged Off,debt_consolidation,21.67,75.40%,0,A
 36 months,1053157,8000,RENT,3,60000,Fully Paid,debt_consolidation,22.02,66.50%,0,A
 60 months,1053289,25975,MORTGAGE,8,50000,Current,debt_consolidation,21.7,95.80%,0,B
 36 months,1053280,5000,OWN,3,32500,Charged Off,other,16.32,27.70%,0,A
 60 months,1053117,12500,MORTGAGE,2,24960,Fully Paid,credit_card,12.64,85.70%,0,B
